cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
A22_B003067,1,"['323', '427', '805']",1,"['325', '427', '805']"
A22_B003080,1,"['120', '2392', '7', '6', '3', '2597', '2651', '2476']",1,"['122', '2384', '2587', '2642', '2359']"
A22_B003112,1,['97'],1,['97']
A22_B003116,1,['77'],1,['77']
A22_B003129,0,0,0,0
A22_B003132,0,0,0,0
A22_B003191,1,"['57', '327', '219', '219', '199', '272', '258', '266', '295', '296']",1,"['56', '327', '219', '219', '199', '272', '258', '266', '295', '296']"
A22_B003518,1,"['17', '76', '108', '107']",1,"['17', '76', '108', '107']"
A22_B003775,1,"['124', '131']",1,"['124', '131']"
A22_B003920,0,0,0,0
A22_B003995,0,0,0,0
A2_1001000408,1,"['168', '346', '365', '431', '288', '305']",1,"['593', '1', '1', '695', '827', '620', '583']"
A2_1001000412,1,"['53', '121', '150']",1,"['245', '285']"
A2_B001470,1,"['143', '297', '236', '278', '336', '332', '360', '336']",1,"['143', '297', '221', '278', '336', '329', '360', '336']"
A2_B001543,1,"['636', '424', '474', '476', '435', '459', '398', '393']",1,"['556', '413', '474', '465', '424', '459', '398', '393']"
A2_B001557,1,"['110', '163', '134', '247']",1,"['110', '163', '134', '247']"
A2_B003115,1,"['88', '370', '325']",1,"['88', '370', '325']"
A2_B003132,1,"['214', '176', '329', '381', '380', '436']",1,"['213', '176', '279', '381', '380']"
A2_B003659,0,0,0,0
A3_B000862,0,0,0,0
A3_B001464,1,"['4', '316', '425', '545', '389']",1,"['4', '316', '424', '545', '389']"
A3_B001554,0,0,0,0
A3_B002573,1,"['62', '50', '59', '141']",1,"['62', '50', '59', '141']"
A3_B003070,1,"['14', '14', '16']",1,"['14', '14', '16']"
A3_B003129,1,"['432', '2', '446', '492', '754', '786', '983']",1,"['432', '2', '446', '492', '1004']"
A3_B003132,1,"['63', '59', '121', '73', '28', '50', '85', '83', '78', '96', '139', '139', '129']",1,"['63', '59', '121', '73', '28', '50', '85', '83', '78', '96', '139', '139', '129']"
A3_B003187,1,"['68', '90', '3', '39']",1,"['68', '90', '3', '39']"
A3_B003659,1,"['675', '675', '675', '675', '675', '675', '676', '55']",1,"['385', '639', '639', '639', '639', '639', '639', '640', '55']"
A4_10001000325,1,267,1,242
A4_1001000317,1,"['617', '665', '657', '658']",1,"['617', '665', '599', '600']"
A4_1001000407,1,"['1025', '2', '1218', '1337', '1175', '1054', '968']",1,"['1713', '2062', '2180', '2032', '1811', '1471', '90']"
A4_B000861,0,0,0,0
A4_B000862,1,"['11', '1231', '5', '3', '1302']",1,"['11', '1231', '1296']"
A4_B001464,1,"['14', '43']",1,"['14', '43']"
A4_B001470,1,"['319', '765', '872', '888', '841', '700']",1,"['319', '765', '872', '888', '841', '700']"
A4_B001551,1,"['136', '587', '786']",1,"['136', '587', '786']"
A4_B001558,1,"['86', '135', '629', '528']",1,"['86', '135', '629', '528']"
A4_B002572,1,"['619', '21', '824', '921', '609', '574', '592', '621', '581']",1,"['619', '21', '754', '921', '609', '574', '592', '622', '581']"
A4_B003067,1,"['503', '699', '444', '417']",1,"['503', '699', '444', '401']"
A4_B003070,1,"['972', '4', '1215', '1268', '1144', '1063', '872']",1,"['957', '5', '1217', '1268', '1142', '1012', '874']"
A4_B003071,1,"['51', '150', '155', '282']",1,"['51', '150', '155', '282']"
A4_B003126,1,"['1231', '1360', '1548', '1378', '1340']",1,"['1075', '1362', '1549', '1367', '1367', '1367', '1449', '1378', '1338']"
A4_B003132,1,"['217', '269', '263', '312', '355']",1,"['217', '269', '263', '312', '354']"
A4_B003187,1,"['131', '131', '314', '141', '14', '184']",1,"['83', '314', '141', '14', '184']"
A4_B003995,0,0,0,0
A5_1001000317,1,"['798', '744', '865', '783']",1,"['797', '688', '865', '698']"
A5_1001000407,1,"['334', '739', '799', '895', '603', '747', '804']",1,"['521', '1307', '3', '1481', '1577', '1330', '1330', '1332', '1148', '1399', '1379']"
A5_B000862,1,"['1482', '1866', '2222', '2209']",1,"['1481', '1862', '2198']"
A5_B001007,0,0,0,0
A5_B001554,1,"['26', '74', '39']",1,"['26', '74', '39']"
A5_B003070,1,"['1091', '1181', '1343', '1543', '1543', '1543', '1542', '1542', '1542', '1593', '1542', '1593', '1266', '1154']",1,"['1091', '1177', '1340', '1451', '1451', '1451', '1450', '1450', '1450', '1501', '1450', '1501', '1265', '1148']"
A5_B003995,0,0,0,0
A6_1001000412,1,"['281', '648', '659', '806', '696', '672']",1,"['1200', '1204', '1325', '1523', '1320', '1201', '1052']"
A6_B000862,0,0,0,0
A6_B001474,1,"['1859', '1854', '1957', '2250', '2420', '2420', '2422', '2472', '2339', '1887', '98']",1,"['1864', '1956', '2239', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2298', '2347', '2298', '2298', '2298', '2347', '2487', '2354', '1888', '101']"
A6_B001475,1,"['27', '49', '48', '78', '132', '83']",1,"['27', '49', '48', '78', '132', '83']"
A6_B001548,1,"['1109', '1258', '1003']",1,"['1109', '1258', '1003']"
A6_B001554,1,"['70', '128', '87']",1,"['70', '128', '87']"
A6_B002572,1,"['385', '364', '429', '371', '368', '270']",1,"['372', '364', '429', '361', '368', '368', '270']"
A6_B003129,1,"['476', '725', '952', '952', '633', '2', '2']",1,"['476', '726', '883', '883', '883', '901', '632', '2', '2']"
